VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-01-01 00:05:55,2019-01-01 00:29:35,1,6.40,1,N,249,151,1,21.5,0.5,0.5,4.55,0,0.3,27.35,
1,2019-01-01 00:35:12,2019-01-01 00:53:07,1,3.20,1,N,151,140,1,14,0.5,0.5,3.05,0,0.3,18.35,
2,2019-01-01 00:20:53,2019-01-01 00:46:11,1,5.61,1,N,231,142,1,21,0.5,0.5,2,0,0.3,24.3,
2,2019-01-01 00:50:10,2019-01-01 01:25:53,1,3.30,1,N,142,114,1,22,0.5,0.5,4.66,0,0.3,27.96,
2,2019-01-01 00:10:17,2019-01-01 00:22:36,2,2.52,1,N,48,237,1,11,0.5,0.5,3.69,0,0.3,15.99,
2,2019-01-01 00:24:21,2019-01-01 00:48:28,2,2.96,1,N,237,48,1,16,0.5,0.5,4.32,0,0.3,21.62,
2,2019-01-01 00:49:21,2019-01-01 00:54:16,2,1.15,1,N,48,68,2,6,0.5,0.5,0,0,0.3,7.3,
2,2019-01-01 00:59:30,2019-01-01 01:10:21,2,1.63,1,N,186,142,1,9,0.5,0.5,2.06,0,0.3,12.36,
1,2019-01-01 00:14:25,2019-01-01 00:20:24,1,.90,1,N,41,41,1,6,0.5,0.5,1.45,0,0.3,8.75,
1,2019-01-01 00:53:17,2019-01-01 00:53:49,1,.00,5,N,41,41,1,12,0,0,0.5,0,0.3,12.8,
4,2019-01-01 00:52:14,2019-01-01 01:01:12,1,1.86,1,N,113,233,1,8.5,0.5,0.5,1.96,0,0.3,11.76,
1,2019-01-01 00:03:55,2019-01-01 00:11:13,1,2.10,1,N,263,151,2,8.5,0.5,0.5,0,0,0.3,9.8,
1,2019-01-01 00:15:01,2019-01-01 01:03:10,2,12.00,1,N,24,181,1,40.5,0.5,0.5,14.25,5.76,0.3,61.81,
1,2019-01-01 00:36:09,2019-01-01 00:49:33,0,2.50,1,N,79,162,1,11,0.5,0.5,2.45,0,0.3,14.75,
1,2019-01-01 00:57:07,2019-01-01 01:15:09,0,2.70,1,N,162,68,2,13,0.5,0.5,0,0,0.3,14.3,
